Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab
Northern/Southern rock sole (GOA),web,2014,32735842,NPFMC,AFSC,LK,1,0,0,0,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Other rockfish (BSAI),web,2014,8478399,NPFMC,AFSC,LK,1,0,0.5,0.5,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Other rockfish (GOA),web,2011,8478399,NPFMC,AFSC,LK,1,1,1,1,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Other skate complex (GOA),web,2014,6341673,NPFMC,AFSC,LK,1,0,1,1,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Pacific cod Bering Sea and Aleutian Islands,RAM,2012,156129080,NPFMC,AFSC,KM,2,2,1,1,2,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Pacific cod Gulf of Alaska,RAM,2013,156129080,NPFMC,AFSC,KM,1,2,2,2,2,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Pacific Ocean Perch (BSAI),web,2014,26163364,NPFMC,AFSC,LK,1,2,2,1,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Pacific Ocean Perch (GOA),web,2014,26163364,NPFMC,AFSC,LK,1,2,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Rex sole (GOA),web,2011,2815691,NPFMC,AFSC,LK,1,2,2,1.5,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Rougheye and Blackspotted Rockfish BSAI,web,2014,8478399,NPFMC,AFSC,KM,0,0,0,0,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Sablefish Alaska,web,2014,82111039,NPFMC,AFSC,KM,1,2,1,1,2,3,1,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Sculpin stock complex (BSAI),web,2014,4958,NPFMC,AFSC,LK,1,0,2,2,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Sculpin stock complex (GOA),web,2011,4958,NPFMC,AFSC,LK,1,0,2,2,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
